House,Neighborhood,Latitude,Longitude,Price,Size(sqft),price_per_sqft,Bedrooms,Bathrooms,Quality,maid_room,Furnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,maid_service,networked,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet,Source
7553527,Al Barsha,25.07001,55.245729,778000.0,730,1065.75,1,2,High,False,False,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,False,False,True,True,True,False,False,False,True,False,False,Dubizzle
7396594,Jumeirah Village Circle,25.066013,55.212988,900000.0,1439,625.43,2,3,Medium,False,False,True,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,Property Finder
7679416,Palm Jumeirah,25.109267000000003,55.145799,1500000.0,1583,947.57,2,3,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Dubizzle
7586859,Jumeirah Beach Residence,25.07851,55.136283,815000.0,779,1046.21,1,2,Medium,False,False,True,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,False,True,Bayut
7643954,Palm Jumeirah,25.111902,55.138103,624888.0,321,1946.69,0,1,High,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,Bayut
7663483,Downtown Dubai,25.195237,55.271449,5796888.0,1861,3114.93,3,4,Medium,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,Dubizzle
7652747,Dubai Marina,25.073185,55.138325,895000.0,982,911.41,2,2,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Property Finder
7635846,Jumeirah Beach Residence,25.079895,55.134126,2547000.0,1401,1817.99,2,3,Medium,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,Dubizzle
7687510,Jumeirah Village Circle,25.052742,55.20799399999999,999000.0,1574,634.69,2,3,Medium,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Property Finder
7636524,Jumeirah Lake Towers,25.080143,55.152381000000005,425000.0,532,798.87,0,1,Low,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Property Finder
7261344,Dubai Marina,25.081622,55.141977,1845000.0,1346,1370.73,2,2,Medium,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,Property Finder
7669789,DIFC,25.211032,55.28205,2700000.0,1757,1536.71,2,3,Medium,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,Dubizzle
7651699,Culture Village,25.226946,55.343628,750000.0,607,1235.58,0,1,Low,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,Bayut
7602004,Jumeirah Village Circle,25.051528,55.212972,1131000.0,1558,725.93,2,3,Ultra,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,Dubizzle
7663189,Dubai Marina,25.087251,55.145574,2200000.0,1487,1479.49,2,3,Medium,False,True,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,Property Finder
7654020,Jumeirah Beach Residence,25.082647,55.135003000000005,1200000.0,638,1880.88,1,1,Low,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,Dubizzle
7693553,Dubai Sports City,25.031902,55.223079000000006,330000.0,454,726.87,0,1,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Dubizzle
7516043,Downtown Dubai,25.194282,55.271884,4681888.0,1720,2722.03,2,3,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Bayut
7593928,Palm Jumeirah,25.116329,55.138654,1675000.0,1746,959.34,2,2,Medium,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,True,False,Property Finder
7599900,Jumeirah,25.240419,55.25277,1700000.0,1200,1416.67,2,3,Low,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,Bayut
7498331,Dubai Harbour,25.0967,55.139276,1370888.0,746,1837.65,1,2,Medium,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,Bayut
7660482,World Trade Center,25.226577,55.289442,4150000.0,3466,1197.35,4,5,Medium,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Bayut
7657980,Greens,25.095723,55.169499,1095000.0,1295,845.56,2,2,Medium,False,False,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,Dubizzle
7134664,DIFC,25.212018,55.278772,1999999.0,1755,1139.6,2,2,Medium,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,Dubizzle
7670734,Jumeirah Village Circle,25.058746,55.209389,426000.0,390,1092.31,0,1,Medium,False,True,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,Bayut
7532605,Mohammed Bin Rashid City,25.171461,55.2758,1261142.0,742,1699.65,1,2,Medium,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,Bayut
7695790,Jumeirah,25.215192,55.235827,4905000.0,1574,3116.26,1,1,Medium,True,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,Bayut
7499119,Jumeirah,25.240419,55.25277,1710000.0,1301,1314.37,2,3,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Dubizzle
7664941,Jumeirah Lake Towers,25.063302,55.137728,650000.0,980,663.27,1,2,Medium,False,True,True,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,Property Finder
7646008,Meydan,25.158106,55.295016,1075000.0,1703,631.24,2,2,Low,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Property Finder
7697243,Dubai Healthcare City,25.208435,55.31558199999999,558000.0,325,1716.92,1,1,Ultra,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,Bayut
7625738,Jumeirah Beach Residence,25.072569,55.126527,1550000.0,639,2425.67,1,2,Low,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Property Finder
7613846,Downtown Dubai,25.195237,55.271449,5796888.0,1861,3114.93,3,4,Low,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,Bayut
7670100,Palm Jumeirah,25.110632,55.145767000000006,1399000.0,1145,1221.83,1,2,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Property Finder
7670200,Jumeirah Beach Residence,25.080787,55.13738000000001,2999999.0,2500,1200.0,3,2,High,True,False,True,False,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,True,True,True,False,True,False,False,True,False,Dubizzle
7570841,Meydan,25.145181,55.288017,1400000.0,1534,912.65,2,3,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Dubizzle
7563960,Jumeirah Lake Towers,25.078262,55.14866899999999,1400000.0,1680,833.33,2,4,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Bayut
7363073,Downtown Dubai,25.194282,55.27886899999999,3000000.0,796,3768.84,1,2,Medium,False,True,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,Property Finder
7698386,Dubai Marina,25.071448,55.131088,3300000.0,3456,954.86,3,5,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Dubizzle
7409784,Downtown Dubai,25.194186,55.269439,3000000.0,1150,2608.7,2,2,Low,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,Bayut
7682980,Dubai Marina,25.090418,55.14874,949999.0,971,978.37,1,3,Medium,False,False,True,False,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,Property Finder
7616674,Dubai Marina,25.090214000000003,55.149869,4500000.0,3554,1266.18,3,5,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Dubizzle
7631678,Jumeirah Beach Residence,25.07662,55.135006,2900000.0,3090,938.51,3,5,Medium,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,Dubizzle
7184800,Downtown Dubai,25.196593,55.269631,930000.0,774,1201.55,1,2,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Bayut
7594994,Jumeirah,25.240419,55.25277,1434000.0,758,1891.82,1,2,Low,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,Bayut
7670495,Discovery Gardens,25.03335,55.150016,410000.0,828,495.17,1,2,Medium,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,True,Property Finder
7700091,Jumeirah Lake Towers,25.07913,55.154713,400888.0,415,966.0,0,1,High,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,Dubizzle
7652058,Palm Jumeirah,25.116492,55.141387,3499999.0,2281,1534.41,3,4,Medium,False,True,True,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,Property Finder
7608901,Old Town,25.189423,55.274427,2235000.0,1966,1136.83,3,4,Low,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Bayut
7612592,Dubai Marina,25.086376,55.14736,2587000.0,1211,2136.25,2,2,High,False,False,True,False,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,True,False,False,False,False,False,False,Property Finder
7697260,Remraam,25.004258,55.245986,260000.0,401,648.38,0,1,Medium,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,Property Finder
